elapsed_s,raw_bass,smoothed_b,scaled_b,mean_history,kick_ratio_needed,drop_ratio_needed,is_kick,is_drop,beat_bpm
3.674,1.58269,1.85973,83,84.22,109.49,151.60,0,0,0.0
3.675,1.94024,1.89999,85,84.50,109.85,152.10,0,0,0.0
3.675,1.39799,1.64899,74,83.50,108.55,150.30,0,0,0.0
3.675,1.57655,1.61277,72,83.42,108.45,150.16,0,0,0.0
3.675,2.23977,1.92627,86,83.10,108.03,149.58,0,0,0.0
3.759,1.05078,1.48852,66,82.38,107.09,148.28,0,0,0.0
3.759,2.28842,1.88847,84,82.38,107.09,148.28,0,0,0.0
3.759,0.85822,1.37334,61,80.92,105.20,145.66,0,0,0.0
3.759,2.03748,1.70541,76,80.88,105.14,145.58,0,0,0.0
3.760,1.47487,1.59014,71,79.92,103.90,143.87,0,0,0.0
3.760,1.16844,1.37929,62,79.83,103.77,143.69,0,0,0.0
3.760,2.30484,1.84207,82,79.33,103.12,142.78,0,0,0.0
3.844,1.03494,1.43850,64,78.92,102.60,142.06,0,0,0.0
3.844,2.70273,2.07061,93,79.55,103.42,143.19,0,0,0.0
3.845,1.01865,1.54463,69,79.15,102.90,142.47,0,0,0.0
3.845,2.53829,2.04146,91,79.62,103.51,143.33,0,0,0.0
3.845,1.54647,1.79397,80,78.78,102.41,141.80,0,0,0.0
3.845,1.58958,1.69177,76,78.85,102.50,141.93,0,0,0.0
3.845,2.11630,1.90404,85,78.58,102.15,141.44,0,0,0.0
3.845,1.40805,1.65604,74,78.28,101.76,140.90,0,0,0.0
3.929,2.55531,2.10568,94,78.80,102.44,141.84,0,0,0.0
3.929,1.68180,1.89374,85,78.88,102.54,141.97,0,0,0.0
3.929,1.98285,1.93829,87,79.17,102.93,142.51,0,0,0.0
3.929,1.52353,1.73091,77,78.65,102.25,141.57,0,0,0.0
3.930,1.95156,1.84123,82,79.05,102.77,142.29,0,0,0.0
3.930,1.31794,1.57958,71,78.70,102.31,141.66,0,0,0.0
3.930,1.86458,1.72208,77,78.88,102.54,141.97,0,0,0.0
4.014,1.85168,1.78688,80,78.97,102.67,142.16,0,0,0.0
4.015,1.54801,1.66745,75,78.92,102.60,142.06,0,0,0.0
4.015,1.94484,1.80614,81,79.38,103.19,142.88,0,0,0.0
4.015,1.49832,1.65223,74,78.80,102.44,141.84,0,0,0.0
4.015,1.96651,1.80937,81,79.17,102.93,142.51,0,0,0.0
4.015,1.21725,1.51331,68,78.62,102.21,141.53,0,0,0.0
4.016,1.41261,1.46296,65,78.58,102.15,141.44,0,0,0.0
